"Time","Location","Variant","TPopulation1July","PopGrowthRate","TFR"
1950,"World","Medium",2493092.848,1.738,4.8519
1953,"World","Medium",2634106.236,1.9,4.9223
1956,"World","Medium",2795409.994,1.978,4.9309
1959,"World","Medium",2965950.351,1.729,4.7395
1962,"World","Medium",3123374.315,2.112,5.0217
1965,"World","Medium",3334533.703,2.088,5.0709
1968,"World","Medium",3545187.251,2.093,4.9628
1971,"World","Medium",3769847.865,1.972,4.6791
1974,"World","Medium",3996416.096,1.883,4.2591
1977,"World","Medium",4217863.796,1.745,3.8497
1980,"World","Medium",4447606.236,1.801,3.7437
1983,"World","Medium",4697327.574,1.783,3.5808
1986,"World","Medium",4958072.838,1.829,3.5042
1989,"World","Medium",5234431.732,1.778,3.3471
1992,"World","Medium",5505989.816,1.568,3.0437
1995,"World","Medium",5758878.982,1.449,2.8893
1998,"World","Medium",6007066.69,1.365,2.7758
2001,"World","Medium",6254936.46,1.326,2.7143
2004,"World","Medium",6503377.772,1.283,2.6474
2007,"World","Medium",6757308.781,1.28,2.6227
2010,"World","Medium",7021732.148,1.269,2.6021
2013,"World","Medium",7291793.585,1.233,2.5724
2016,"World","Medium",7558554.526,1.166,2.5359
2019,"World","Medium",7811293.698,1.027,2.3968
2022,"World","Medium",8021407.192,0.875,2.2653
2025,"World","Medium",8231613.07,0.841,2.2385
2028,"World","Medium",8436618.886,0.795,2.2128
2031,"World","Medium",8634119.333,0.748,2.1871
2034,"World","Medium",8823784.909,0.701,2.1608
2037,"World","Medium",9005152.624,0.654,2.1387
2040,"World","Medium",9177190.203,0.607,2.1267
2043,"World","Medium",9338661.314,0.556,2.1199
2046,"World","Medium",9487889.604,0.5,2.1133
2049,"World","Medium",9622824.028,0.441,2.1013
2052,"World","Medium",9742264.515,0.382,2.0852
2055,"World","Medium",9846237.57,0.327,2.0651
2058,"World","Medium",9936164.379,0.28,2.0439
2061,"World","Medium",10013916.213,0.241,2.0223
2064,"World","Medium",10081402.737,0.208,2.0022
2067,"World","Medium",10139808.361,0.177,1.9837
2070,"World","Medium",10189241.959,0.147,1.9666
2073,"World","Medium",10229327.824,0.115,1.9521
2076,"World","Medium",10259351.432,0.081,1.9389
2079,"World","Medium",10278887.473,0.046,1.9257
2082,"World","Medium",10288205.05,0.015,1.9137
2085,"World","Medium",10288456.599,-0.013,1.9007
2088,"World","Medium",10280704.572,-0.037,1.8875
2091,"World","Medium",10265861.714,-0.059,1.8745
2094,"World","Medium",10244185.837,-0.082,1.8612
2097,"World","Medium",10215549.31,-0.105,1.8493
2100,"World","Medium",10180160.751,-0.127,1.838
