"Time","Location","Variant","TPopulation1July","PopGrowthRate","TFR"
2026,"World","High",8337053.643,1.001,2.4818
2029,"World","High",8588039.203,1.046,2.606
2032,"World","High",8854369.578,0.99,2.5794
2035,"World","High",9123257.568,1.004,2.6555
2038,"World","High",9394334.752,0.948,2.6373
2041,"World","High",9657260.057,0.892,2.6267
2044,"World","High",9911189.437,0.839,2.6175
2047,"World","High",10156636.956,0.793,2.6036
2050,"World","High",10395097.515,0.756,2.5862
2053,"World","High",10629359.835,0.731,2.565
2056,"World","High",10862541.321,0.717,2.5406
2059,"World","High",11097431.026,0.71,2.5163
2062,"World","High",11335434.752,0.705,2.4944
2065,"World","High",11576641.089,0.698,2.4753
2068,"World","High",11819366.292,0.684,2.4582
2071,"World","High",12061357.99,0.666,2.4437
2074,"World","High",12301155.572,0.646,2.4305
2077,"World","High",12538218.49,0.627,2.4187
2080,"World","High",12773252.911,0.612,2.406
2083,"World","High",13008278.141,0.604,2.3933
2086,"World","High",13245528.74,0.601,2.3797
2089,"World","High",13486446.757,0.601,2.366
2092,"World","High",13731412.011,0.599,2.3524
2095,"World","High",13979316.911,0.593,2.339
2098,"World","High",14228706.026,0.585,2.3284
2101,"World","High",NA,NA,NA
2025,"World","Low",8209792.256,0.667,1.987
2028,"World","Low",8371006.53,0.626,1.9616
2031,"World","Low",8501897.197,0.479,1.7858
2034,"World","Low",8616410.209,0.366,1.6597
2037,"World","Low",8705932.008,0.322,1.637
2040,"World","Low",8784545.44,0.277,1.6236
2043,"World","Low",8850761.874,0.223,1.6172
2046,"World","Low",8902152.852,0.161,1.6151
2049,"World","Low",8935584.436,0.088,1.611
2052,"World","Low",8948421.23,0.007,1.6044
2055,"World","Low",8938992.423,-0.077,1.5929
2058,"World","Low",8907420.18,-0.158,1.5778
2061,"World","Low",8855309.412,-0.232,1.5594
2064,"World","Low",8785273.903,-0.296,1.5399
2067,"World","Low",8699840.123,-0.354,1.5206
2070,"World","Low",8600768.565,-0.409,1.5015
2073,"World","Low",8489020.101,-0.463,1.4845
2076,"World","Low",8364746.422,-0.52,1.469
2079,"World","Low",8227933.268,-0.58,1.4542
2082,"World","Low",8078966.41,-0.638,1.4414
2085,"World","Low",7918911.108,-0.696,1.4285
2088,"World","Low",7748850.426,-0.751,1.4156
2091,"World","Low",7569846.562,-0.807,1.4026
2094,"World","Low",7382643.888,-0.863,1.3892
2097,"World","Low",7187907.24,-0.919,1.3764
2100,"World","Low",6986813.938,-0.972,1.3637
