"Time","Location","Variant","PopGrowthRate","TFR","Population_Billions"
1950,"World","Medium",1.738,4.8519,2.493092848
1953,"World","Medium",1.9,4.9223,2.634106236
1956,"World","Medium",1.978,4.9309,2.795409994
1959,"World","Medium",1.729,4.7395,2.965950351
1962,"World","Medium",2.112,5.0217,3.123374315
1965,"World","Medium",2.088,5.0709,3.334533703
1968,"World","Medium",2.093,4.9628,3.545187251
1971,"World","Medium",1.972,4.6791,3.769847865
1974,"World","Medium",1.883,4.2591,3.996416096
1977,"World","Medium",1.745,3.8497,4.217863796
1980,"World","Medium",1.801,3.7437,4.447606236
1983,"World","Medium",1.783,3.5808,4.697327574
1986,"World","Medium",1.829,3.5042,4.958072838
1989,"World","Medium",1.778,3.3471,5.234431732
1992,"World","Medium",1.568,3.0437,5.505989816
1995,"World","Medium",1.449,2.8893,5.758878982
1998,"World","Medium",1.365,2.7758,6.00706669
2001,"World","Medium",1.326,2.7143,6.25493646
2004,"World","Medium",1.283,2.6474,6.503377772
2007,"World","Medium",1.28,2.6227,6.757308781
2010,"World","Medium",1.269,2.6021,7.021732148
2013,"World","Medium",1.233,2.5724,7.291793585
2016,"World","Medium",1.166,2.5359,7.558554526
2019,"World","Medium",1.027,2.3968,7.811293698
2022,"World","Medium",0.875,2.2653,8.021407192
2025,"World","Medium",0.841,2.2385,8.23161307
2028,"World","Medium",0.795,2.2128,8.436618886
2031,"World","Medium",0.748,2.1871,8.634119333
2034,"World","Medium",0.701,2.1608,8.823784909
2037,"World","Medium",0.654,2.1387,9.005152624
2040,"World","Medium",0.607,2.1267,9.177190203
2043,"World","Medium",0.556,2.1199,9.338661314
2046,"World","Medium",0.5,2.1133,9.487889604
2049,"World","Medium",0.441,2.1013,9.622824028
2052,"World","Medium",0.382,2.0852,9.742264515
2055,"World","Medium",0.327,2.0651,9.84623757
2058,"World","Medium",0.28,2.0439,9.936164379
2061,"World","Medium",0.241,2.0223,10.013916213
2064,"World","Medium",0.208,2.0022,10.081402737
2067,"World","Medium",0.177,1.9837,10.139808361
2070,"World","Medium",0.147,1.9666,10.189241959
2073,"World","Medium",0.115,1.9521,10.229327824
2076,"World","Medium",0.081,1.9389,10.259351432
2079,"World","Medium",0.046,1.9257,10.278887473
2082,"World","Medium",0.015,1.9137,10.28820505
2085,"World","Medium",-0.013,1.9007,10.288456599
2088,"World","Medium",-0.037,1.8875,10.280704572
2091,"World","Medium",-0.059,1.8745,10.265861714
2094,"World","Medium",-0.082,1.8612,10.244185837
2097,"World","Medium",-0.105,1.8493,10.21554931
2100,"World","Medium",-0.127,1.838,10.180160751
2026,"World","High",1.001,2.4818,8.337053643
2029,"World","High",1.046,2.606,8.588039203
2032,"World","High",0.99,2.5794,8.854369578
2035,"World","High",1.004,2.6555,9.123257568
2038,"World","High",0.948,2.6373,9.394334752
2041,"World","High",0.892,2.6267,9.657260057
2044,"World","High",0.839,2.6175,9.911189437
2047,"World","High",0.793,2.6036,10.156636956
2050,"World","High",0.756,2.5862,10.395097515
2053,"World","High",0.731,2.565,10.629359835
2056,"World","High",0.717,2.5406,10.862541321
2059,"World","High",0.71,2.5163,11.097431026
2062,"World","High",0.705,2.4944,11.335434752
2065,"World","High",0.698,2.4753,11.576641089
2068,"World","High",0.684,2.4582,11.819366292
2071,"World","High",0.666,2.4437,12.06135799
2074,"World","High",0.646,2.4305,12.301155572
2077,"World","High",0.627,2.4187,12.53821849
2080,"World","High",0.612,2.406,12.773252911
2083,"World","High",0.604,2.3933,13.008278141
2086,"World","High",0.601,2.3797,13.24552874
2089,"World","High",0.601,2.366,13.486446757
2092,"World","High",0.599,2.3524,13.731412011
2095,"World","High",0.593,2.339,13.979316911
2098,"World","High",0.585,2.3284,14.228706026
2101,"World","High",NA,NA,NA
2025,"World","Low",0.667,1.987,8.209792256
2028,"World","Low",0.626,1.9616,8.37100653
2031,"World","Low",0.479,1.7858,8.501897197
2034,"World","Low",0.366,1.6597,8.616410209
2037,"World","Low",0.322,1.637,8.705932008
2040,"World","Low",0.277,1.6236,8.78454544
2043,"World","Low",0.223,1.6172,8.850761874
2046,"World","Low",0.161,1.6151,8.902152852
2049,"World","Low",0.088,1.611,8.935584436
2052,"World","Low",0.007,1.6044,8.94842123
2055,"World","Low",-0.077,1.5929,8.938992423
2058,"World","Low",-0.158,1.5778,8.90742018
2061,"World","Low",-0.232,1.5594,8.855309412
2064,"World","Low",-0.296,1.5399,8.785273903
2067,"World","Low",-0.354,1.5206,8.699840123
2070,"World","Low",-0.409,1.5015,8.600768565
2073,"World","Low",-0.463,1.4845,8.489020101
2076,"World","Low",-0.52,1.469,8.364746422
2079,"World","Low",-0.58,1.4542,8.227933268
2082,"World","Low",-0.638,1.4414,8.07896641
2085,"World","Low",-0.696,1.4285,7.918911108
2088,"World","Low",-0.751,1.4156,7.748850426
2091,"World","Low",-0.807,1.4026,7.569846562
2094,"World","Low",-0.863,1.3892,7.382643888
2097,"World","Low",-0.919,1.3764,7.18790724
2100,"World","Low",-0.972,1.3637,6.986813938
